wl;n;k
0.889186;2.32374;5.45403
0.890975;2.32577;5.46174
0.892771;2.32778;5.46949
0.894575;2.32978;5.47727
0.896386;2.33177;5.4851
0.898205;2.33376;5.49296
0.90003;2.33573;5.50085
0.901864;2.33769;5.50879
0.903704;2.33965;5.51677
0.905552;2.34159;5.52478
0.907408;2.34353;5.53284
0.909272;2.34545;5.54093
0.911143;2.34737;5.54907
0.913021;2.34927;5.55725
0.914908;2.35117;5.56546
0.916802;2.35306;5.57373
0.918705;2.35494;5.58203
0.920615;2.35681;5.59038
0.922533;2.35867;5.59876
0.924459;2.36052;5.6072
0.926393;2.36236;5.61568
0.928335;2.3642;5.6242
0.930286;2.36602;5.63277
0.932244;2.36784;5.64138
0.934211;2.36964;5.65004
0.936187;2.37144;5.65875
0.93817;2.37323;5.6675
0.940162;2.37501;5.67631
0.942163;2.37679;5.68516
0.944172;2.37855;5.69406
0.946189;2.38031;5.703
0.948216;2.38206;5.712
0.950251;2.3838;5.72105
0.952294;2.38553;5.73015
0.954347;2.38725;5.7393
0.956408;2.38897;5.7485
0.958479;2.39068;5.75776
0.960558;2.39238;5.76706
0.962646;2.39408;5.77642
0.964744;2.39576;5.78584
0.96685;2.39744;5.7953
0.968966;2.39912;5.80483
0.971091;2.40079;5.81441
0.973226;2.40245;5.82404
0.975369;2.4041;5.83373
0.977523;2.40575;5.84348
0.979686;2.40739;5.85328
0.981858;2.40903;5.86315
0.98404;2.41066;5.87307
0.986232;2.41228;5.88305
0.988434;2.4139;5.89309
0.990645;2.41552;5.90319
0.992866;2.41712;5.91335
0.995098;2.41873;5.92357
0.997339;2.42033;5.93385
0.999591;2.42192;5.9442
1.00185;2.42351;5.9546
1.00412;2.4251;5.96508
1.00641;2.42668;5.97561
1.0087;2.42826;5.98621
1.011;2.42984;5.99687
1.01332;2.43141;6.0076
1.01564;2.43298;6.0184
1.01798;2.43455;6.02926
1.02032;2.43611;6.04019
1.02268;2.43767;6.05119
1.02505;2.43923;6.06226
1.02742;2.44079;6.07339
1.02981;2.44234;6.0846
1.03221;2.4439;6.09587
1.03463;2.44545;6.10722
1.03705;2.447;6.11863
1.03948;2.44855;6.13012
1.04193;2.4501;6.14168
1.04439;2.45165;6.15331
1.04686;2.4532;6.16502
1.04934;2.45475;6.1768
1.05183;2.4563;6.18865
1.05433;2.45785;6.20058
1.05685;2.45941;6.21259
1.05938;2.46096;6.22467
1.06192;2.46252;6.23683
1.06447;2.46408;6.24907
1.06704;2.46564;6.26138
1.06962;2.4672;6.27378
1.07221;2.46876;6.28625
1.07481;2.47033;6.2988
1.07742;2.4719;6.31144
1.08005;2.47348;6.32415
1.08269;2.47506;6.33695
1.08535;2.47664;6.34983
1.08801;2.47823;6.36279
